meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
1717.526055350375,0.044575352,-8.361221e-07,2523.0219586354538,2548.5171350490796,25.495176413625813,23.944974060114973,16.316228485199296,3.6570783,0.01477489,-451.77493,1717.526055350375,104.43762,0.0,179.73069985652097,27.394485,108.1102658399776,179.73069985652097,71.62043401654337,-6.3953004,0
1777.386621300408,0.034889705,6.2986637e-06,3711.9281724606985,4010.8179369109416,298.8897644502431,23.202116165213994,16.145586981588895,3.519379,0.019153215,-474.76282,1777.386621300408,100.640915,0.0,170.6259238017108,40.165276,65.40639132514966,170.6259238017108,105.21953247656114,-4.754831,0
2010.6481467979452,0.031178284,1.1586119e-06,3499.4263757271783,3546.360223584597,46.93384785741864,21.993155419065253,15.753421442681155,4.0791593,0.022542607,-477.74997,2010.6481467979452,90.2455,0.0,161.9823763910578,33.901577,95.76056196257365,161.9823763910578,66.22181442848417,-5.202119,0
2214.277290206368,0.03206188,8.78743e-08,3257.2625464317816,3205.8212107000973,-51.441335731684376,21.250360410928355,15.373931183685007,4.0446258,0.030233711,-499.25528,2214.277290206368,72.32698,0.0,183.93170582347207,36.216335,65.40639132514966,183.93170582347207,118.52531449832242,-6.856677,0
1941.1219656196085,0.036563307,2.5366892e-06,3033.9092053499544,3133.779331681765,99.87012633181075,23.38753969845293,15.709955767734856,3.6877759,0.018664151,-458.40314,1941.1219656196085,95.97043,0.0,175.62564499846297,33.22952,73.4161919793519,175.62564499846297,102.20945301911108,-7.306647,0
2091.332855085967,0.032922387,9.1917855e-07,4028.093456444736,3831.046681261856,-197.04677518288008,21.99556338486346,15.192117166578898,3.7671537,0.023576463,-485.36447,2091.332855085967,76.56607,0.0,202.90956258890662,37.033356,72.57293509250918,202.90956258890662,130.33662749639745,-9.952796,0
1943.6808101009435,0.03931254,1.4842744e-06,3622.812836905884,3240.6306577788687,-382.1821791270154,22.941710933272393,15.534356637078439,4.093985,0.021351973,-446.91663,1943.6808101009435,93.92603,0.0,173.60841241450115,41.155952,100.87044475251382,173.60841241450115,72.73796766198733,-8.469427,0
1770.8183311180612,0.054770075,2.523879e-05,3599.529550839805,3723.2422617060483,123.71271086624347,23.589332344104896,16.016219233773587,3.6810517,0.014325103,-416.87784,1770.8183311180612,97.85503,0.0,179.73069985652097,33.140186,79.1413469005951,179.73069985652097,100.58935295592588,-3.3637896,0
1583.553631085397,0.057372984,3.9858965e-05,3602.277446891714,3564.395779471765,-37.88166741994928,25.15941738930092,15.85375462961521,3.360459,0.011402296,-403.20966,1583.553631085397,104.018425,0.0,169.64319079487348,33.112198,78.23233100085048,169.64319079487348,91.410859794023,-7.798459,0
1735.5957452046655,0.042470053,3.6251665e-06,3172.468768167826,3319.4736591791034,147.00489101127732,22.955973437535025,16.703299412112578,3.4770222,0.015631622,-470.78204,1735.5957452046655,97.00396,0.0,181.8190699939266,36.390484,78.23233100085048,181.8190699939266,103.58673899307612,-3.647636,0
958.6739566929913,0.3040238,-5.6811306e-05,1560.370028743319,2077.6989658971343,517.3289371538153,25.788844870889406,15.51967239659997,3.0475738,0.0018033452,-252.22133,958.6739566929913,135.06769,0.0,172.60850153728515,36.961494,114.5388367788287,172.60850153728515,58.069664758456454,-0.04921049,0
